"title","category","rank","profile","outcome","reason","hostMs","uniqueFrames"
"Modern","watchfaces","4","qemu_emery","companion-error-observed","","36494.020722","113"
"Modern","watchfaces","4","qemu_flint","companion-error-observed","","30319.015088","97"
"Modern","watchfaces","4","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","25065.434111000002","35"
"Futura Weather","watchfaces","12","qemu_emery","scenario-completed","","37040.552051","112"
"Futura Weather","watchfaces","12","qemu_flint","scenario-completed","","30335.943691000004","91"
"Futura Weather","watchfaces","12","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","23950.159701999997","33"
"Weather - powered by The Weather Channel","watchfaces","14","qemu_emery","companion-error-observed","","42654.637691","112"
"Weather - powered by The Weather Channel","watchfaces","14","qemu_flint","companion-error-observed","","36784.170292","95"
"Weather - powered by The Weather Channel","watchfaces","14","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","27337.684729","35"
"Revolution","watchfaces","23","qemu_emery","scenario-completed","","32521.061741000012","91"
"Revolution","watchfaces","23","qemu_flint","scenario-completed","","29511.077535999997","110"
"Revolution","watchfaces","23","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","24635.626042000004","32"
"Retro Clock","watchfaces","27","qemu_emery","scenario-completed","","39014.186573","106"
"Retro Clock","watchfaces","27","qemu_flint","scenario-completed","","31449.346650000007","88"
"Retro Clock","watchfaces","27","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","23878.82467599999","31"
"UP for Pebble","watchfaces","28","qemu_emery","companion-error-observed","","40903.31536000001","85"
"UP for Pebble","watchfaces","28","qemu_flint","companion-error-observed","","40008.23372400002","95"
"UP for Pebble","watchfaces","28","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","36179.99725700001","34"
"Dotz","watchfaces","30","qemu_emery","scenario-completed","","40640.056553","122"
"Dotz","watchfaces","30","qemu_flint","scenario-completed","","28260.320813","106"
"Dotz","watchfaces","30","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","25564.82731600001","31"
"Enigma","watchfaces","34","qemu_emery","scenario-completed","","40840.25964799998","116"
"Enigma","watchfaces","34","qemu_flint","scenario-completed","","31428.779019999987","110"
"Enigma","watchfaces","34","qemu_gabbro","scenario-completed","","31489.878250999987","69"
"Mario","watchfaces","46","qemu_emery","scenario-completed","","33094.548252999986","111"
"Mario","watchfaces","46","qemu_flint","scenario-completed","","27587.43987999996","98"
"Mario","watchfaces","46","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","23013.873473999964","31"
"Perspective","watchfaces","47","qemu_emery","companion-error-observed","","47050.025115999975","108"
"Perspective","watchfaces","47","qemu_flint","companion-error-observed","","42374.26899700001","124"
"Perspective","watchfaces","47","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","21981.68695200002","31"
"Super Watchface","watchfaces","62","qemu_emery","companion-error-observed","","39549.55896300002","115"
"Super Watchface","watchfaces","62","qemu_flint","companion-error-observed","","43562.02330400003","98"
"Super Watchface","watchfaces","62","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","39070.417926000024","38"
"Fuzzy Text International","watchfaces","70","qemu_emery","companion-error-observed","","34336.205860999995","105"
"Fuzzy Text International","watchfaces","70","qemu_flint","companion-error-observed","","26280.708978999988","63"
"Fuzzy Text International","watchfaces","70","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","22853.27572799998","31"
"Pixwag (Black)","watchfaces","73","qemu_emery","scenario-completed","","32454.737370999996","105"
"Pixwag (Black)","watchfaces","73","qemu_flint","scenario-completed","","27657.578729","91"
"Pixwag (Black)","watchfaces","73","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","24603.800185","32"
"Velocity","watchfaces","76","qemu_emery","scenario-completed","","42137.426665999985","111"
"Velocity","watchfaces","76","qemu_flint","scenario-completed","","34550.833973","95"
"Velocity","watchfaces","76","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","26580.505548999994","34"
"Metro Watch","watchfaces","82","qemu_emery","scenario-completed","","31529.90756099997","106"
"Metro Watch","watchfaces","82","qemu_flint","scenario-completed","","26747.38864000002","88"
"Metro Watch","watchfaces","82","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","22614.81540099997","30"
"Rolex Steel","watchfaces","83","qemu_emery","scenario-completed","","40953.19541800005","91"
"Rolex Steel","watchfaces","83","qemu_flint","scenario-completed","","28219.027639999986","110"
"Rolex Steel","watchfaces","83","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","34388.68376799999","32"
"Periodic","watchfaces","98","qemu_emery","scenario-completed","","29645.231921","81"
"Periodic","watchfaces","98","qemu_flint","scenario-completed","","24295.626104000024","62"
"Periodic","watchfaces","98","qemu_gabbro","execution-stopped","Error: Timeout waiting for Pebble endpoint 0x34.","21341.93851300003","31"
