"title","category","rank","profile","outcome","reason","hostMs","uniqueFrames"
"Misfit","watchapps-and-companions","1","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","296.59756699999997","0"
"Misfit","watchapps-and-companions","1","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","311.933612","0"
"Misfit","watchapps-and-companions","1","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","295.110158","0"
"Music Boss","watchapps-and-companions","2","qemu_emery","scenario-completed","","90381.877564","75"
"Music Boss","watchapps-and-companions","2","qemu_flint","scenario-completed","","71633.69001100001","107"
"Music Boss","watchapps-and-companions","2","qemu_gabbro","scenario-completed","","90749.422735","70"
"Pixel Miner","watchapps-and-companions","3","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","254.73034600000003","0"
"Pixel Miner","watchapps-and-companions","3","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","289.805961","0"
"Pixel Miner","watchapps-and-companions","3","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","301.317748","0"
"Morpheuz","watchapps-and-companions","4","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","290.3407030000001","0"
"Morpheuz","watchapps-and-companions","4","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","268.69914099999994","0"
"Morpheuz","watchapps-and-companions","4","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","286.65662800000007","0"
"Battery+","watchapps-and-companions","5","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","321.771433","0"
"Battery+","watchapps-and-companions","5","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","302.938778","0"
"Battery+","watchapps-and-companions","5","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","264.539535","0"
"Timer+","watchapps-and-companions","6","qemu_emery","scenario-completed","","29802.711571","87"
"Timer+","watchapps-and-companions","6","qemu_flint","scenario-completed","","22862.991789","94"
"Timer+","watchapps-and-companions","6","qemu_gabbro","scenario-completed","","27802.623768","63"
"Compass","watchapps-and-companions","7","qemu_emery","scenario-completed","","73997.124096","118"
"Compass","watchapps-and-companions","7","qemu_flint","scenario-completed","","52738.060184","161"
"Compass","watchapps-and-companions","7","qemu_gabbro","scenario-completed","","76750.584603","114"
"Cards for Pebble","watchapps-and-companions","8","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","250.33580600000005","0"
"Cards for Pebble","watchapps-and-companions","8","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","252.07945700000005","0"
"Cards for Pebble","watchapps-and-companions","8","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","240.75895000000003","0"
"Tiny Bird","watchapps-and-companions","9","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","255.99912199999994","0"
"Tiny Bird","watchapps-and-companions","9","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","272.473334","0"
"Tiny Bird","watchapps-and-companions","9","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","279.03411500000004","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","265.9487270000001","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","263.278912","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","247.60376600000006","0"
"Timer","watchapps-and-companions","11","qemu_emery","scenario-completed","","30124.058310999997","110"
"Timer","watchapps-and-companions","11","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","247.88190100000008","0"
"Timer","watchapps-and-companions","11","qemu_gabbro","scenario-completed","","31047.018715","69"
"Stopwatch","watchapps-and-companions","12","qemu_emery","scenario-completed","","34487.031672000005","103"
"Stopwatch","watchapps-and-companions","12","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","198.39648499999998","0"
"Stopwatch","watchapps-and-companions","12","qemu_gabbro","scenario-completed","","37577.518521","65"
"Sports","watchapps-and-companions","13","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","207.0081419999999","0"
"Sports","watchapps-and-companions","13","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","204.67058400000008","0"
"Sports","watchapps-and-companions","13","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","199.61961099999996","0"
"Sleep as Android","watchapps-and-companions","14","qemu_emery","scenario-completed","","30865.919216","108"
"Sleep as Android","watchapps-and-companions","14","qemu_flint","scenario-completed","","27563.254722","87"
"Sleep as Android","watchapps-and-companions","14","qemu_gabbro","scenario-completed","","26767.417571","60"
"Snowy","watchapps-and-companions","15","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","259.0049050000001","0"
"Snowy","watchapps-and-companions","15","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","212.13039000000003","0"
