"title","category","rank","profile","outcome","reason","hostMs","uniqueFrames"
"Misfit","watchapps-and-companions","1","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","259.724341","0"
"Misfit","watchapps-and-companions","1","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","301.59777399999996","0"
"Misfit","watchapps-and-companions","1","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","307.41733400000004","0"
"Music Boss","watchapps-and-companions","2","qemu_emery","scenario-completed","","90384.102537","75"
"Music Boss","watchapps-and-companions","2","qemu_flint","scenario-completed","","72665.212482","107"
"Music Boss","watchapps-and-companions","2","qemu_gabbro","scenario-completed","","90733.960622","70"
"Pixel Miner","watchapps-and-companions","3","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","322.10993600000006","0"
"Pixel Miner","watchapps-and-companions","3","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","296.04546000000005","0"
"Pixel Miner","watchapps-and-companions","3","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","294.43302199999994","0"
"Morpheuz","watchapps-and-companions","4","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","303.384197","0"
"Morpheuz","watchapps-and-companions","4","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","325.21141000000006","0"
"Morpheuz","watchapps-and-companions","4","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","265.03221299999996","0"
"Battery+","watchapps-and-companions","5","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","262.312458","0"
"Battery+","watchapps-and-companions","5","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","285.53608299999996","0"
"Battery+","watchapps-and-companions","5","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","284.24489500000004","0"
"Timer+","watchapps-and-companions","6","qemu_emery","scenario-completed","","29697.294006","87"
"Timer+","watchapps-and-companions","6","qemu_flint","scenario-completed","","22848.686331","94"
"Timer+","watchapps-and-companions","6","qemu_gabbro","scenario-completed","","28127.498812","63"
"Compass","watchapps-and-companions","7","qemu_emery","scenario-completed","","75126.642077","118"
"Compass","watchapps-and-companions","7","qemu_flint","scenario-completed","","52799.200854","161"
"Compass","watchapps-and-companions","7","qemu_gabbro","scenario-completed","","77216.38555","114"
"Cards for Pebble","watchapps-and-companions","8","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","293.4385920000001","0"
"Cards for Pebble","watchapps-and-companions","8","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","281.334032","0"
"Cards for Pebble","watchapps-and-companions","8","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","264.615864","0"
"Tiny Bird","watchapps-and-companions","9","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","248.064387","0"
"Tiny Bird","watchapps-and-companions","9","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","249.67293299999994","0"
"Tiny Bird","watchapps-and-companions","9","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","272.3394400000001","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","256.467039","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","246.333524","0"
"Dialer for Pebble","watchapps-and-companions","10","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","228.00741100000005","0"
"Timer","watchapps-and-companions","11","qemu_emery","scenario-completed","","30243.823407000003","110"
"Timer","watchapps-and-companions","11","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","270.38433299999997","0"
"Timer","watchapps-and-companions","11","qemu_gabbro","scenario-completed","","30861.598412","69"
"Stopwatch","watchapps-and-companions","12","qemu_emery","scenario-completed","","34256.613444","103"
"Stopwatch","watchapps-and-companions","12","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","231.92804999999998","0"
"Stopwatch","watchapps-and-companions","12","qemu_gabbro","scenario-completed","","37622.54073","65"
"Sports","watchapps-and-companions","13","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","214.00537199999997","0"
"Sports","watchapps-and-companions","13","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","211.40941499999997","0"
"Sports","watchapps-and-companions","13","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","205.04823299999998","0"
"Sleep as Android","watchapps-and-companions","14","qemu_emery","scenario-completed","","30971.792257","108"
"Sleep as Android","watchapps-and-companions","14","qemu_flint","scenario-completed","","27139.409343","87"
"Sleep as Android","watchapps-and-companions","14","qemu_gabbro","scenario-completed","","26874.726565","60"
"Snowy","watchapps-and-companions","15","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","209.42922099999987","0"
"Snowy","watchapps-and-companions","15","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","214.93499799999995","0"
"Snowy","watchapps-and-companions","15","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","210.89311900000007","0"
"Maptastic","watchapps-and-companions","16","qemu_emery","execution-stopped","Error: Virtual phone stopped after an execution error.","19128.47036","44"
"Maptastic","watchapps-and-companions","16","qemu_flint","execution-stopped","Error: Virtual phone stopped after an execution error.","17226.084952999998","35"
"Maptastic","watchapps-and-companions","16","qemu_gabbro","execution-stopped","Error: Virtual phone stopped after an execution error.","19443.495529","40"
"Glance","watchapps-and-companions","17","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","156.37737300000003","0"
"Glance","watchapps-and-companions","17","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","160.13681199999996","0"
